side,event_day,entry_time,exit_time,entry_price,exit_price,stop_price,target_price,stop_fraction,notional,underlying_return,net_account_contribution,exit_reason,ambiguous_bar_loss_first
short,2023-10-26,2023-10-27 00:01:00,2023-11-02 11:13:00,1777.36,1872.73,1871.0,1590.0799999999997,0.05268488094702261,0.09490388722768037,-0.053658234685151074,-0.005187278940623665,stop,False
short,2023-11-02,2023-11-03 00:01:00,2023-11-05 11:50:00,1805.28,1872.59,1874.47,1666.8999999999999,0.03832646459275019,0.1304581586934527,-0.037285074891429515,-0.0049946003757768325,stop,False
short,2023-12-06,2023-12-07 00:01:00,2023-12-07 23:28:00,2254.3,2315.2,2312.92,2137.0600000000004,0.026003637492791505,0.19228079153872435,-0.027015037927516028,-0.005386753667690166,stop,False
short,2023-12-09,2023-12-10 00:01:00,2023-12-11 10:12:00,2363.86,2283.09,2407.39,2276.8000000000006,0.018414796138519093,0.2715207902595927,0.0341686901931586,0.009005988973122025,target,False
short,2023-12-28,2023-12-29 00:01:00,2024-01-03 20:09:00,2358.05,2193.33,2453.95,2166.250000000001,0.040669197006000565,0.12294316996871789,0.06985432878861786,0.00846516944734103,target,False
long,2024-01-03,2024-01-04 00:01:00,2024-01-11 00:01:00,2236.67,2446.0,2052.45,2605.1100000000006,0.08236351361622422,0.060706492237541994,0.09359002445599929,0.005620815600911944,time,False
short,2024-01-10,2024-01-11 00:01:00,2024-01-11 00:47:00,2446.0,2418.61,2462.0,2414.0,0.006541291905151268,0.3,0.011197874080130732,0.0030593622240392194,target,False
short,2024-01-12,2024-01-13 00:01:00,2024-01-13 05:45:00,2646.51,2503.7,2717.77,2503.9900000000007,0.026926027107397953,0.185693937692956,0.053961632489580746,0.009834654083637442,target,False
short,2024-02-09,2024-02-10 00:01:00,2024-02-11 11:59:00,2494.52,2527.8,2526.99,2429.5800000000004,0.013016532238667078,0.3,-0.013341244006863207,-0.0043023732020589615,stop,False
short,2024-02-11,2024-02-12 00:01:00,2024-02-12 23:34:00,2508.74,2542.62,2540.8,2444.619999999999,0.012779323485096264,0.3,-0.013504787263725948,-0.004351436179117784,stop,False
short,2024-02-20,2024-02-21 00:01:00,2024-02-21 07:03:00,2923.75,3016.3,3008.0,2755.25,0.0288157332193245,0.17351632047477744,-0.03165455322787514,-0.0056660979228486605,stop,False
short,2024-02-21,2024-02-22 00:01:00,2024-02-23 04:32:00,2912.72,3032.19,3035.56,2667.0399999999995,0.04217363838611338,0.11855747313578624,-0.04101664423631535,-0.004981387170302845,stop,False
short,2024-02-23,2024-02-24 00:01:00,2024-02-25 10:07:00,2915.21,3032.49,3037.98,2669.67,0.042113604165737624,0.11872648041052376,-0.040230377914455495,-0.0048951376557790915,stop,False
short,2024-03-06,2024-03-07 00:01:00,2024-03-08 04:29:00,3796.2,3904.88,3904.09,3580.419999999999,0.02842052578894693,0.1759291871350444,-0.028628628628628805,-0.005212540550560771,stop,False
short,2024-03-08,2024-03-09 00:01:00,2024-03-11 08:53:00,3909.67,3760.47,3999.0,3731.01,0.02284847570255288,0.21883297884249434,0.03816178859085295,0.008132224896451372,target,False
short,2024-03-12,2024-03-13 00:01:00,2024-03-15 02:51:00,3994.17,3803.67,4096.15,3790.210000000001,0.025532213200739968,0.19583104530300144,0.04769451475525577,0.009144235634438162,target,False
long,2024-03-20,2024-03-21 00:01:00,2024-03-28 00:01:00,3285.0,3524.45,3051.58,3751.84,0.07105631659056319,0.07036672093222515,0.07289193302891928,0.005058799588724183,time,False
